name,id,rarity,sum,expectation
,,1,,"18,427.023582"
Pink Macaron ★1,,1,,5.615041
Green Macaron ★1,,1,,5.321861
Pink Macaron ★2,,2,,3.321224
Green Macaron ★2,,2,,3.115360
School Idol Badge,,1,,2.544296
Pink Macaron ★3,,3,,1.846399
Green Macaron ★3,,3,,1.802422
Guard Type Beginner Book,,1,,1.437221
Skill Type Beginner Book,,1,,1.399618
SP Type Beginner Book,,1,,1.305290
Voltage Type Beginner Book,,1,,1.293818
Guard Type Intermediate Book,,2,,0.579987
Voltage Type Intermediate Book,,2,,0.536648
SP Type Intermediate Book,,2,,0.528362
Skill Type Secret Book,,4,,0.507967
Guard Type Advanced Book,,3,,0.495857
SP Type Secret Book,,4,,0.493945
Guard Type Secret Book,,4,,0.492033
Voltage Type Advanced Book,,3,,0.487572
Skill Type Intermediate Book,,2,,0.486297
Skill Type Advanced Book,,3,,0.479924
Voltage Type Secret Book,,4,,0.455704
SP Type Advanced Book,,3,,0.437859
