name,id,rarity,sum,expectation
Purple Macaron ★1,,1,,5.660853
Yellow Macaron ★1,,1,,5.584625
Gold Macaron ★1,,1,,3.363049
Purple Macaron ★2,,2,,3.198966
Yellow Macaron ★2,,2,,3.157623
Silver Macaron ★1,,1,,2.920543
School Idol Badge,,1,,2.656331
Silver Macaron ★2,,2,,2.359819
Gold Macaron ★2,,2,,1.946382
Purple Macaron ★3,,3,,1.740310
Yellow Macaron ★3,,3,,1.700904
SP Type Seed,,1,,1.398579
Guard Type Seed,,1,,1.315245
Voltage Type Seed,,1,,1.293928
Skill Type Seed,,2,,1.293282
Gold Macaron ★3,,3,,0.879845
Silver Macaron ★3,,3,,0.776486
Voltage Type Sprout,,2,,0.544574
SP Type Flower,,4,,0.543282
Skill Type Sprout,,2,,0.518088
SP Type Sprout,,2,,0.514212
Skill Type Flower,,4,,0.510982
Guard Type Sprout,,2,,0.500646
Guard Type Flower,,4,,0.479328
Voltage Type Bud,,3,,0.475452
Voltage Type Flower,,4,,0.472222
Skill Type Bud,,3,,0.470930
SP Type Bud,,3,,0.456718
Guard Type Bud,,3,,0.437984
