name,id,rarity,sum,expectation
,,1,,"11,442.793932"
Voltage Type Seed,,1,,2.846397
Guard Type Seed,,1,,2.787611
Skill Type Seed,,2,,2.786346
SP Type Seed,,1,,2.663085
School Idol Badge,,1,,2.606827
Voltage Type Sprout,,2,,1.113780
SP Type Sprout,,2,,1.113148
Skill Type Sprout,,2,,1.060683
Guard Type Sprout,,2,,1.041087
Guard Type Bud,,3,,0.950063
Guard Type Flower,,4,,0.948799
SP Type Flower,,4,,0.932364
Skill Type Bud,,3,,0.927307
Voltage Type Flower,,4,,0.927307
SP Type Bud,,3,,0.922250
Skill Type Flower,,4,,0.909608
Voltage Type Bud,,3,,0.873578
