name,id,rarity,sum,expectation
Green Macaron ★1,,1,,5.509843
Red Macaron ★1,,1,,5.457349
Pink Macaron ★1,,1,,5.280840
Blue Macaron ★1,,1,,5.013123
Pink Macaron ★2,,2,,3.372703
Blue Macaron ★2,,2,,3.364173
Green Macaron ★2,,2,,3.284777
Red Macaron ★2,,2,,3.190289
School Idol Badge,,1,,2.741470
Blue Macaron ★3,,3,,1.859580
Red Macaron ★3,,3,,1.743438
Green Macaron ★3,,3,,1.721129
Pink Macaron ★3,,3,,1.660761
Skill Type Beginner Book,,1,,1.478346
Voltage Type Beginner Book,,1,,1.464567
SP Type Beginner Book,,1,,1.356955
Guard Type Beginner Book,,1,,1.309711
Skill Type Intermediate Book,,2,,0.561680
SP Type Intermediate Book,,2,,0.548556
Guard Type Intermediate Book,,2,,0.526903
Voltage Type Intermediate Book,,2,,0.517717
SP Type Advanced Book,,3,,0.501969
SP Type Secret Book,,4,,0.482940
Guard Type Secret Book,,4,,0.480315
Voltage Type Secret Book,,4,,0.460630
Skill Type Secret Book,,4,,0.449475
Skill Type Advanced Book,,3,,0.437008
Guard Type Advanced Book,,3,,0.426509
Voltage Type Advanced Book,,3,,0.409449
