name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.738295
Blue Macaron ★1,,1,,5.300720
Blue Macaron ★2,,2,,3.259304
Red Macaron ★2,,2,,3.146459
School Idol Badge,,1,,2.643457
Red Macaron ★3,,3,,1.728091
Blue Macaron ★3,,3,,1.701681
Guard Type Seed,,1,,1.396158
Skill Type Beginner Book,,1,,1.364946
Voltage Type Seed,,1,,1.355942
Guard Type Beginner Book,,1,,1.346939
SP Type Beginner Book,,1,,1.346339
Skill Type Seed,,2,,1.343337
Voltage Type Beginner Book,,1,,1.319928
SP Type Seed,,1,,1.302521
Skill Type Sprout,,2,,0.563625
SP Type Intermediate Book,,2,,0.553421
Guard Type Sprout,,2,,0.550420
Guard Type Intermediate Book,,2,,0.539016
Voltage Type Flower,,4,,0.526411
Voltage Type Secret Book,,4,,0.525810
Voltage Type Bud,,3,,0.511405
Skill Type Secret Book,,4,,0.509604
Guard Type Flower,,4,,0.507203
SP Type Bud,,3,,0.503601
Skill Type Intermediate Book,,2,,0.502401
Guard Type Secret Book,,4,,0.492797
Voltage Type Intermediate Book,,2,,0.489196
Guard Type Bud,,3,,0.488595
SP Type Sprout,,2,,0.480192
Guard Type Advanced Book,,3,,0.474790
Voltage Type Sprout,,2,,0.468788
SP Type Flower,,4,,0.467587
Skill Type Bud,,3,,0.465786
SP Type Advanced Book,,3,,0.463986
Skill Type Advanced Book,,3,,0.459784
Voltage Type Advanced Book,,3,,0.458583
SP Type Secret Book,,4,,0.456182
Skill Type Flower,,4,,0.438776
