name,id,rarity,sum,expectation
Gold Macaron ★1,,1,,6.521685
Silver Macaron ★1,,1,,5.959108
Silver Macaron ★2,,2,,4.884139
Gold Macaron ★2,,2,,4.135068
School Idol Badge,,1,,2.615861
Gold Macaron ★3,,3,,1.638166
Silver Macaron ★3,,3,,1.568773
Guard Type Beginner Book,,1,,1.493804
SP Type Beginner Book,,1,,1.405824
Skill Type Beginner Book,,1,,1.386617
Voltage Type Beginner Book,,1,,1.273234
SP Type Intermediate Book,,2,,0.552664
Voltage Type Intermediate Book,,2,,0.547708
Skill Type Intermediate Book,,2,,0.519827
Guard Type Intermediate Book,,2,,0.515489
Guard Type Secret Book,,4,,0.476456
Guard Type Advanced Book,,3,,0.473978
Skill Type Secret Book,,4,,0.452292
Voltage Type Secret Book,,4,,0.451053
SP Type Advanced Book,,3,,0.447336
SP Type Secret Book,,4,,0.444238
Voltage Type Advanced Book,,3,,0.438042
Skill Type Advanced Book,,3,,0.436803
