name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.556715
Yellow Macaron ★1,,1,,5.483646
Purple Macaron ★1,,1,,5.462770
Blue Macaron ★1,,1,,5.371608
Purple Macaron ★2,,2,,3.387613
Red Macaron ★2,,2,,3.258873
Yellow Macaron ★2,,2,,3.194154
Blue Macaron ★2,,2,,3.163535
School Idol Badge,,1,,2.629088
Red Macaron ★3,,3,,1.794711
Yellow Macaron ★3,,3,,1.742519
Blue Macaron ★3,,3,,1.709812
Purple Macaron ★3,,3,,1.679193
SP Type Beginner Book,,1,,1.428671
Voltage Type Beginner Book,,1,,1.354210
Guard Type Beginner Book,,1,,1.342380
Skill Type Beginner Book,,1,,1.308977
SP Type Intermediate Book,,2,,0.558803
Skill Type Advanced Book,,3,,0.557411
Guard Type Intermediate Book,,2,,0.544189
Skill Type Intermediate Book,,2,,0.522617
Skill Type Secret Book,,4,,0.498260
Voltage Type Intermediate Book,,2,,0.494781
Guard Type Secret Book,,4,,0.479471
Voltage Type Advanced Book,,3,,0.447460
SP Type Advanced Book,,3,,0.445372
Guard Type Advanced Book,,3,,0.434238
SP Type Secret Book,,4,,0.424495
Voltage Type Secret Book,,4,,0.416145
