name,id,rarity,sum,expectation
,,1,,"18,443.816698"
School Idol Badge,,1,,2.636535
Skill Type Beginner Book,,1,,1.397363
Voltage Type Beginner Book,,1,,1.370998
Guard Type Seed,,1,,1.359699
Voltage Type Seed,,1,,1.330822
Guard Type Beginner Book,,1,,1.311990
SP Type Seed,,1,,1.303202
Skill Type Seed,,2,,1.289391
SP Type Beginner Book,,1,,1.284369
Voltage Type Sprout,,2,,0.587571
Skill Type Sprout,,2,,0.584432
SP Type Intermediate Book,,2,,0.570621
Guard Type Intermediate Book,,2,,0.567483
Skill Type Intermediate Book,,2,,0.561833
Voltage Type Intermediate Book,,2,,0.561833
Guard Type Sprout,,2,,0.546139
SP Type Sprout,,2,,0.538606
Guard Type Flower,,4,,0.492781
SP Type Advanced Book,,3,,0.486503
Guard Type Secret Book,,4,,0.477087
SP Type Flower,,4,,0.475832
Voltage Type Flower,,4,,0.472693
Voltage Type Advanced Book,,3,,0.472065
Skill Type Bud,,3,,0.468299
Guard Type Bud,,3,,0.466416
SP Type Secret Book,,4,,0.457627
Skill Type Advanced Book,,3,,0.456999
SP Type Bud,,3,,0.452605
Voltage Type Bud,,3,,0.435656
Voltage Type Secret Book,,4,,0.435656
Skill Type Flower,,4,,0.428751
Guard Type Advanced Book,,3,,0.419962
Skill Type Secret Book,,4,,0.406780
