name,id,rarity,sum,expectation
,,1,,"23,057.856273"
School Idol Badge,,1,,2.662607
SP Type Seed,,1,,1.471985
Voltage Type Seed,,1,,1.408648
Guard Type Seed,,1,,1.361754
Skill Type Seed,,2,,1.285627
Skill Type Sprout,,2,,0.556638
SP Type Sprout,,2,,0.550548
Guard Type Sprout,,2,,0.537150
Voltage Type Flower,,4,,0.506699
Skill Type Flower,,4,,0.504872
Voltage Type Sprout,,2,,0.485384
Skill Type Bud,,3,,0.473203
Voltage Type Bud,,3,,0.471985
SP Type Flower,,4,,0.461632
SP Type Bud,,3,,0.457369
Guard Type Flower,,4,,0.447625
Guard Type Bud,,3,,0.434227
