name,id,rarity,sum,expectation
Green Macaron ★1,,1,,5.579863
Pink Macaron ★1,,1,,5.285892
Pink Macaron ★2,,2,,3.275948
Green Macaron ★2,,2,,3.231200
Guard Type Seed,,1,,2.752020
Skill Type Seed,,2,,2.751398
Voltage Type Seed,,1,,2.688005
School Idol Badge,,1,,2.676196
SP Type Seed,,1,,2.528900
Pink Macaron ★3,,3,,1.803605
Green Macaron ★3,,3,,1.743319
Skill Type Sprout,,2,,1.093226
Voltage Type Sprout,,2,,1.085768
SP Type Sprout,,2,,1.062150
Guard Type Sprout,,2,,1.026103
SP Type Flower,,4,,1.013673
Voltage Type Flower,,4,,0.999378
Guard Type Flower,,4,,0.972654
Voltage Type Bud,,3,,0.970168
Skill Type Flower,,4,,0.944065
SP Type Bud,,3,,0.929770
Skill Type Bud,,3,,0.914232
Guard Type Bud,,3,,0.908639
