name,id,rarity,sum,expectation
,,1,,"18,297.668038"
Blue Macaron ★1,,1,,5.449246
Red Macaron ★1,,1,,5.273663
Red Macaron ★2,,2,,3.465706
Blue Macaron ★2,,2,,3.261317
School Idol Badge,,1,,2.539095
Blue Macaron ★3,,3,,1.778464
Red Macaron ★3,,3,,1.738683
SP Type Seed,,1,,1.382030
Voltage Type Seed,,1,,1.330590
Skill Type Seed,,2,,1.318244
Guard Type Seed,,1,,1.301097
Skill Type Sprout,,2,,0.579561
Voltage Type Sprout,,2,,0.545953
Guard Type Sprout,,2,,0.537037
SP Type Sprout,,2,,0.512346
Voltage Type Bud,,3,,0.504801
SP Type Bud,,3,,0.497942
Skill Type Bud,,3,,0.460905
SP Type Flower,,4,,0.458848
Guard Type Bud,,3,,0.453361
Voltage Type Flower,,4,,0.448560
Guard Type Flower,,4,,0.445816
Skill Type Flower,,4,,0.445816
