name,id,rarity,sum,expectation
Pink Macaron ★1,,1,,5.412746
Green Macaron ★1,,1,,5.279333
Pink Macaron ★2,,2,,3.273377
Green Macaron ★2,,2,,3.262061
Skill Type Beginner Book,,1,,2.851697
Guard Type Beginner Book,,1,,2.764741
SP Type Beginner Book,,1,,2.744491
School Idol Badge,,1,,2.655152
Voltage Type Beginner Book,,1,,2.631924
Pink Macaron ★3,,3,,1.815366
Green Macaron ★3,,3,,1.806432
Voltage Type Intermediate Book,,2,,1.129244
SP Type Intermediate Book,,2,,1.101251
Skill Type Intermediate Book,,2,,1.033353
Skill Type Advanced Book,,3,,1.020250
Guard Type Intermediate Book,,2,,1.017868
Guard Type Secret Book,,4,,0.963073
SP Type Advanced Book,,3,,0.918404
Guard Type Advanced Book,,3,,0.901132
Voltage Type Advanced Book,,3,,0.897558
Voltage Type Secret Book,,4,,0.881477
Skill Type Secret Book,,4,,0.866587
SP Type Secret Book,,4,,0.861227
