name,id,rarity,sum,expectation
,,1,,"18,308.664260"
Voltage Type Seed,,1,,2.770758
Skill Type Seed,,2,,2.744886
Guard Type Seed,,1,,2.735860
SP Type Seed,,1,,2.640794
School Idol Badge,,1,,2.523466
Voltage Type Sprout,,2,,1.159446
Skill Type Sprout,,2,,1.088448
SP Type Sprout,,2,,1.079422
Guard Type Sprout,,2,,1.055957
Skill Type Flower,,4,,0.980746
Voltage Type Bud,,3,,0.975933
Skill Type Bud,,3,,0.965102
Guard Type Bud,,3,,0.948255
Guard Type Flower,,4,,0.945247
Voltage Type Flower,,4,,0.924789
SP Type Bud,,3,,0.924188
SP Type Flower,,4,,0.864621
