name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.515450
Blue Macaron ★1,,1,,5.155819
Blue Macaron ★2,,2,,3.387245
Red Macaron ★2,,2,,3.327416
Skill Type Seed,,2,,2.810651
School Idol Badge,,1,,2.746877
Voltage Type Seed,,1,,2.729783
Guard Type Seed,,1,,2.621959
SP Type Seed,,1,,2.609467
Red Macaron ★3,,3,,1.790927
Blue Macaron ★3,,3,,1.720579
Skill Type Sprout,,2,,1.124260
SP Type Sprout,,2,,1.105194
Guard Type Sprout,,2,,1.102564
Voltage Type Sprout,,2,,1.066404
Guard Type Flower,,4,,0.971729
SP Type Bud,,3,,0.971072
SP Type Flower,,4,,0.946088
Skill Type Bud,,3,,0.942143
Guard Type Bud,,3,,0.937541
Skill Type Flower,,4,,0.925707
Voltage Type Bud,,3,,0.904011
Voltage Type Flower,,4,,0.875082
