name,id,rarity,sum,expectation
Pink Macaron ★1,,1,,5.446068
Red Macaron ★1,,1,,5.373695
Blue Macaron ★1,,1,,5.340988
Green Macaron ★1,,1,,5.125957
Green Macaron ★2,,2,,3.481559
Blue Macaron ★2,,2,,3.428671
Red Macaron ★2,,2,,3.341684
Pink Macaron ★2,,2,,3.123173
School Idol Badge,,1,,2.605428
Green Macaron ★3,,3,,1.788448
Pink Macaron ★3,,3,,1.780097
Blue Macaron ★3,,3,,1.695894
Red Macaron ★3,,3,,1.662491
Guard Type Beginner Book,,1,,1.451635
SP Type Beginner Book,,1,,1.318024
Skill Type Beginner Book,,1,,1.318024
Voltage Type Beginner Book,,1,,1.258177
SP Type Intermediate Book,,2,,0.578288
Guard Type Intermediate Book,,2,,0.570633
Skill Type Intermediate Book,,2,,0.540014
Skill Type Secret Book,,4,,0.530967
Voltage Type Intermediate Book,,2,,0.519137
Guard Type Advanced Book,,3,,0.483646
Voltage Type Secret Book,,4,,0.478079
Skill Type Advanced Book,,3,,0.450939
SP Type Secret Book,,4,,0.450939
Guard Type Secret Book,,4,,0.446764
SP Type Advanced Book,,3,,0.439109
Voltage Type Advanced Book,,3,,0.432846
