name,id,rarity,sum,expectation
Blue Macaron ★1,,1,,5.913950
Red Macaron ★1,,1,,5.438722
Gold Macaron ★1,,1,,3.283572
Blue Macaron ★2,,2,,3.136897
Silver Macaron ★1,,1,,3.123859
Red Macaron ★2,,2,,2.996741
School Idol Badge,,1,,2.608866
Silver Macaron ★2,,2,,2.256193
Gold Macaron ★2,,2,,1.891786
Red Macaron ★3,,3,,1.814211
Blue Macaron ★3,,3,,1.780313
Guard Type Seed,,1,,1.432203
Voltage Type Seed,,1,,1.368318
SP Type Seed,,1,,1.362451
Skill Type Seed,,2,,1.338331
Gold Macaron ★3,,3,,0.822034
Silver Macaron ★3,,3,,0.765971
SP Type Sprout,,2,,0.546936
Guard Type Sprout,,2,,0.539765
Voltage Type Sprout,,2,,0.521512
Skill Type Sprout,,2,,0.515645
Guard Type Bud,,3,,0.511082
Guard Type Flower,,4,,0.496089
Skill Type Bud,,3,,0.471969
Voltage Type Flower,,4,,0.468057
Voltage Type Bud,,3,,0.457627
SP Type Bud,,3,,0.447197
Skill Type Flower,,4,,0.434811
SP Type Flower,,4,,0.429596
