name,id,rarity,sum,expectation
,,1,,"18,464.576803"
Gold Macaron ★1,,1,,3.218182
Silver Macaron ★1,,1,,3.042006
School Idol Badge,,1,,2.601881
Silver Macaron ★2,,2,,2.436364
Gold Macaron ★2,,2,,1.957994
Skill Type Beginner Book,,1,,1.445768
Voltage Type Beginner Book,,1,,1.378056
Guard Type Beginner Book,,1,,1.342947
SP Type Beginner Book,,1,,1.309091
Silver Macaron ★3,,3,,0.815047
Gold Macaron ★3,,3,,0.772414
Skill Type Intermediate Book,,2,,0.563636
Guard Type Intermediate Book,,2,,0.559248
Voltage Type Intermediate Book,,2,,0.525392
SP Type Intermediate Book,,2,,0.519122
Skill Type Advanced Book,,3,,0.498433
SP Type Secret Book,,4,,0.468966
SP Type Advanced Book,,3,,0.468339
Voltage Type Advanced Book,,3,,0.465831
Guard Type Advanced Book,,3,,0.465204
Guard Type Secret Book,,4,,0.448276
Skill Type Secret Book,,4,,0.433856
Voltage Type Secret Book,,4,,0.395611
